City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,los llanos de aridane,28.6585,-17.9182,20.86,85,75,4.63,ES,1667590459
1,port alfred,-33.5906,26.891,18.43,92,70,3.89,ZA,1667590165
2,srednekolymsk,67.45,153.6833,-28.09,94,83,0.31,RU,1667590460
3,hobart,-42.8794,147.3294,11.81,87,100,3.09,AU,1667590205
4,mount gambier,-37.8333,140.7667,6.46,96,46,2.33,AU,1667590307
5,klaksvik,62.2266,-6.589,6.51,92,100,11.5,FO,1667590461
6,minab,27.1467,57.0801,25.18,65,31,0.51,IR,1667590461
7,atuona,-9.8,-139.0333,25.35,80,2,8.35,PF,1667590462
8,tuatapere,-46.1333,167.6833,9.14,74,92,5.16,NZ,1667590462
9,geraldton,-28.7667,114.6,13.23,82,0,4.12,AU,1667590463
10,koumac,-20.5667,164.2833,25.43,78,16,3.03,NC,1667590463
11,cabo san lucas,22.8909,-109.9124,29.78,57,20,4.12,MX,1667590464
12,kahului,20.8947,-156.47,28.8,75,99,4.47,US,1667590392
13,faya,18.3851,42.4509,17.29,70,19,1.25,SA,1667590464
14,pereleshino,51.7376,40.1388,0.49,94,100,1.58,RU,1667590465
15,hami,42.8,93.45,6.99,26,42,2.04,CN,1667590465
16,bluff,-46.6,168.3333,9.8,66,97,11.17,NZ,1667590466
17,cape town,-33.9258,18.4232,21.23,80,20,7.72,ZA,1667590413
18,lodja,-3.4833,23.4333,21.67,97,100,1.02,CD,1667590466
19,necochea,-38.5473,-58.7368,22.93,35,0,6.49,AR,1667590466
20,ushuaia,-54.8,-68.3,9.81,76,100,3.6,AR,1667590467
21,kamina,-8.7386,24.9906,18.2,97,97,0.39,CD,1667590467
22,matay,28.419,30.7792,20.55,40,17,3.76,EG,1667590467
23,mosalsk,54.4881,34.9817,-2.89,88,13,1.96,RU,1667590468
24,praya,14.9215,-23.5087,28.3,51,0,7.2,CV,1667590178
25,katsuura,35.1333,140.3,15.11,67,100,8.12,JP,1667590469
26,luanda,-8.8368,13.2343,26.0,83,20,4.12,AO,1667590469
27,surt,31.2089,16.5887,20.87,61,0,5.28,LY,1667590470
28,haverfordwest,51.8017,-4.9691,11.77,83,100,3.99,GB,1667590470
29,pitimbu,-7.4706,-34.8086,29.33,76,89,5.72,BR,1667590471
30,coos bay,43.3665,-124.2179,14.99,92,100,6.17,US,1667590391
31,batemans bay,-35.7167,150.1833,12.97,89,18,1.46,AU,1667590471
32,chiang khong,20.2613,100.4046,16.3,77,0,0.93,TH,1667590472
33,puerto ayora,-0.7393,-90.3518,22.98,75,65,5.8,EC,1667590420
34,san vicente,-26.6167,-54.1333,22.37,41,2,2.51,AR,1667590472
35,sao francisco,-15.9486,-44.8644,23.12,69,99,1.91,BR,1667590473
36,marsabit,2.3284,37.9899,21.51,59,95,4.87,KE,1667590473
37,punta arenas,-53.15,-70.9167,15.06,67,75,6.69,CL,1667590240
38,airai,-8.9266,125.4092,15.66,83,58,0.91,TL,1667590474
39,batagay-alyta,67.8006,130.4114,-26.24,89,21,1.8,RU,1667590474
40,east london,-33.0153,27.9116,20.45,78,100,0.63,ZA,1667590474
41,namibe,-15.1961,12.1522,19.77,75,32,4.68,AO,1667590475
42,biguacu,-27.4942,-48.6556,22.86,67,22,3.37,BR,1667590475
43,aklavik,68.2191,-135.0107,-12.33,94,100,4.91,CA,1667590476
44,moerai,-22.4333,-151.3333,22.63,72,100,8.63,PF,1667590476
45,bowen,-20.0167,148.2333,21.95,64,0,5.67,AU,1667590476
46,arraial do cabo,-22.9661,-42.0278,21.98,68,75,5.14,BR,1667590477
47,pangai,-19.8,-174.35,26.06,73,20,7.2,TO,1667590477
48,fortuna,40.5982,-124.1573,17.18,77,100,5.66,US,1667590257
49,kodiak,57.79,-152.4072,0.73,44,40,8.75,US,1667590478
50,albany,42.6001,-73.9662,21.98,53,64,1.34,US,1667590202
51,denpasar,-8.65,115.2167,25.81,88,40,1.54,ID,1667590393
52,dicabisagan,17.0818,122.4157,25.21,86,89,1.03,PH,1667590478
53,zhezkazgan,47.8043,67.7144,-0.15,71,7,3.63,KZ,1667590479
54,beloha,-25.1667,45.05,22.03,81,96,7.52,MG,1667590479
55,castro,-24.7911,-50.0119,17.66,61,64,0.31,BR,1667590480
56,valdivia,-39.8142,-73.2459,17.05,69,23,2.95,CL,1667590480
57,leningradskiy,69.3833,178.4167,-17.71,95,97,2.35,RU,1667590480
58,la asuncion,11.0333,-63.8628,28.85,70,100,6.69,VE,1667590481
59,cherskiy,68.75,161.3,-21.66,79,33,3.11,RU,1667590234
60,yar-sale,66.8333,70.8333,-12.49,90,35,3.79,RU,1667590482
61,kapaa,22.0752,-159.319,27.99,79,0,2.24,US,1667590482
62,vigrestad,58.5667,5.7,8.66,90,100,7.85,NO,1667590482
63,lokosovo,61.1333,74.8167,-0.59,97,100,3.58,RU,1667590483
64,ahipara,-35.1667,173.1667,17.01,71,2,4.33,NZ,1667590483
65,rio grande,-32.035,-52.0986,17.42,71,62,5.35,BR,1667590483
66,chokurdakh,70.6333,147.9167,-27.87,96,98,0.85,RU,1667590484
67,bredasdorp,-34.5322,20.0403,17.13,95,82,1.81,ZA,1667590484
68,rikitea,-23.1203,-134.9692,21.36,69,0,5.84,PF,1667590380
69,yulara,-25.2406,130.9889,18.32,29,0,4.58,AU,1667590485
70,grosse pointe farms,42.4092,-82.8919,23.9,65,0,8.75,US,1667590485
71,carnarvon,-24.8667,113.6333,18.89,74,0,9.72,AU,1667590486
72,hermanus,-34.4187,19.2345,19.33,89,57,4.37,ZA,1667590486
73,prince albert,53.2001,-105.7677,-5.03,86,100,2.57,CA,1667590240
74,lorengau,-2.0226,147.2712,27.07,78,95,0.63,PG,1667590487
75,kushmurun,52.4503,64.6311,-0.27,90,98,10.56,KZ,1667590487
76,port elizabeth,-33.918,25.5701,20.05,88,75,3.6,ZA,1667590487
77,bandarbeyla,9.4942,50.8122,25.71,78,13,3.29,SO,1667590488
78,ust-nera,64.5667,143.2,-20.96,97,100,0.96,RU,1667590488
79,roebourne,-20.7833,117.1333,24.46,47,5,3.93,AU,1667590272
80,port-gentil,-0.7193,8.7815,26.98,89,40,2.57,GA,1667590489
81,lagoa,39.05,-27.9833,18.05,79,100,3.33,PT,1667590489
82,makat,47.6469,53.3463,4.44,67,100,0.4,KZ,1667590490
83,vostok,46.4856,135.8833,-9.19,81,9,2.19,RU,1667590490
84,vila velha,-20.3297,-40.2925,22.97,69,75,7.2,BR,1667590490
85,pisco,-13.7,-76.2167,19.03,72,0,4.63,PE,1667590491
86,saint-philippe,-21.3585,55.7679,22.77,82,16,2.42,RE,1667590491
87,busselton,-33.65,115.3333,10.39,90,0,4.08,AU,1667590491
88,ribeira grande,38.5167,-28.7,19.87,94,75,2.24,PT,1667590492
89,hondo,32.45,130.2,14.88,63,8,4.74,JP,1667590492
90,taree,-31.9,152.4667,12.83,79,12,1.3,AU,1667590493
91,balagansk,54.0103,103.0544,-1.24,96,100,1.76,RU,1667590493
92,whitecourt,54.1502,-115.6855,0.58,80,75,1.03,CA,1667590494
93,victoria,22.2855,114.1577,22.36,82,95,4.92,HK,1667590495
94,kaohsiung,22.6163,120.3133,23.97,78,75,2.06,TW,1667590495
95,ganzhou,28.8184,115.4327,11.42,87,23,2.35,CN,1667590496
96,saskylakh,71.9167,114.0833,-19.51,98,100,3.76,RU,1667590497
97,port macquarie,-31.4333,152.9167,12.16,75,34,1.85,AU,1667590497
98,puerto suarez,-18.95,-57.8,33.2,43,0,5.14,BO,1667590498
99,rundu,-17.9333,19.7667,22.08,74,79,4.12,NA,1667590498
100,birao,10.2849,22.7882,24.91,29,49,2.43,CF,1667590498
101,yellowknife,62.456,-114.3525,-10.71,85,75,5.66,CA,1667590262
102,tver,56.8619,35.8931,-1.25,96,85,1.85,RU,1667590499
103,mopti,14.6667,-4.0,29.12,14,0,3.4,ML,1667590499
104,new norfolk,-42.7826,147.0587,11.62,73,67,0.72,AU,1667590500
105,serrinha,-11.6642,-39.0075,19.5,92,100,2.65,BR,1667590500
106,longyearbyen,78.2186,15.6401,-2.09,86,75,3.09,SJ,1667590500
107,kavaratti,10.5669,72.642,27.9,73,100,2.39,IN,1667590501
108,thompson,55.7435,-97.8558,-7.91,86,100,2.06,CA,1667590224
109,san angelo,31.4638,-100.437,24.21,31,40,11.83,US,1667590502
110,jamestown,42.097,-79.2353,22.77,53,0,5.66,US,1667590502
111,lebu,-37.6167,-73.65,14.04,77,100,3.96,CL,1667590390
112,helong,42.5397,128.9972,-3.24,42,0,2.5,CN,1667590503
113,hasaki,35.7333,140.8333,11.79,60,100,7.51,JP,1667590503
114,kropotkin,45.4375,40.5756,7.83,88,21,3.97,RU,1667590504
115,barrow,71.2906,-156.7887,-8.99,79,75,4.12,US,1667590504
116,college,64.8569,-147.8028,-10.79,85,100,2.06,US,1667590505
